KEYID,SECTOR,NSTR,TARA,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,XFILES,ANUL
38964427,F9100,010,,0,0,0,0,0,0,0,0,,2018
40538169,F9100,060,,0,,,,0,0,0,0,,2018
40538169,F9100,030,,0,,,,0,0,0,0,,2018
40538169,F9100,020,,0,,,,0,0,0,0,,2018
40538169,F9100,010,,0,,,,0,0,0,0,,2018
40832934,F9100,090,,141020571,,,-6140401,134880170,134880170,134880170,134880170,,2018
40832934,F9100,090,826,141020571,,,-6140401,134880170,134880170,134880170,134880170,,2018
40832934,F9100,060,,141020571,,,-6140401,134880170,134880170,134880170,134880170,,2018
40832934,F9100,010,,0,,,0,0,0,0,0,,2018
40494555,F9100,060,,0,0,0,0,0,0,0,0,,2018
40494555,F9100,030,,0,0,0,0,0,0,0,0,,2018
40494555,F9100,010,,0,0,0,0,0,0,0,0,,2018
41110901,F9100,060,,,0,,,0,0,0,0,,2018
41110901,F9100,020,,,0,,,0,0,0,0,,2018
41110901,F9100,020,642,,,,,0,0,0,0,,2018
41110901,F9100,010,,,0,,,0,0,0,0,,2018
40142744,F9100,100,,0,0,0,0,0,0,0,0,,2018
40142744,F9100,060,,0,0,0,0,0,0,0,0,,2018
40142744,F9100,010,,0,0,0,0,0,0,0,0,,2018
15797866,F9100,060,,0,0,0,0,0,0,0,0,,2018
15797866,F9100,050,,0,0,0,,0,0,0,0,,2018
15797866,F9100,020,,0,0,0,0,0,0,0,0,,2018
15797866,F9100,010,,0,0,0,0,0,0,0,0,,2018
40306134,F9100,090,,2999416,81338,1048952,-149036,1882766,1882766,1882766,1882766,,2018
40306134,F9100,090,642,690330,17072,660404,-46998,0,0,0,0,,2018
40306134,F9100,090,528,2309086,64266,388548,-102038,1882766,1882766,1882766,1882766,,2018
40306134,F9100,060,,2999416,81338,1048952,-149036,1882766,1882766,1882766,1882766,,2018
40306134,F9100,010,,0,0,0,0,0,0,0,0,,2018
40635501,F9100,070,,0,0,0,0,0,0,0,0,,2018
40635501,F9100,060,,0,0,0,0,0,0,0,0,,2018
40635501,F9100,010,,0,0,0,0,0,0,0,0,,2018
37479612,F9100,090,,,649831,,,649831,649831,649831,649831,,2018
37479612,F9100,090,643,,649831,,,649831,649831,649831,649831,,2018
37479612,F9100,060,,,649831,,,649831,649831,649831,649831,,2018
